Month,Year,Date,Industry_members,Production,A,B,C,D,E,Taxable Withdrawals by Tax Class,AA,BB,CC,DD,EE,Taxable Withdrawals by Bulk vs Bottled,Bottled,Bulk,Tax Free Withrdawalsa,AAA,BBB,CCC,DDD,EEE,Bottled Exports,Bulk Exports,Stocks on Hand End-of-Period,AAAA,BBBB,FFFF,CCCC,DDDD,EEEE,Stocks on Hand End-of-Period by Bulk vs Bottled,Bottled,Bulk
April ,2025,April ,"1,423","16,136,981","9,391,440","3,390,877","1,943,689","207,310","1,203,666","43,312,199","38,600,054","693,858","1,546,853","207,679","2,263,756","43,312,199","42,092,680","1,219,519","8,693,045","5,161,982","2,933,967",N/A,N/A,"4,007,988","1,557,651","2,450,337","937,407,023","894,849,254","10,483,379","2,760,825","25,210,461","1,130,270","2,972,834","937,407,023","176,908,027","760,498,995"
,, 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,2024,April ,"1,539","20,434,383","12,429,395","2,899,662","3,237,838","109,013","1,758,476","45,781,573","40,245,060","778,146","1,831,351","353,267","2,573,749","45,781,573","43,600,824","2,180,749","12,272,941","6,849,174","4,811,988","48,289","563,490","5,692,811","2,204,704","3,488,107","1,017,623,857","975,687,488","10,181,414","2,712,737","23,626,274","1,201,510","4,214,435","1,017,623,857","175,153,848","842,470,009"
,, 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,2023,April ,"1,572","21,458,600","13,307,795","3,144,143","3,006,758","127,924","1,871,979","46,690,855","41,033,548","663,555","1,875,996","237,292","2,880,465","46,690,855","45,628,895","1,061,960","9,854,846","5,961,027","3,353,814",N/A,N/A,"4,585,409","2,269,730","2,315,678","973,092,223","931,344,143","10,723,222","2,247,110","23,655,624","1,266,215","3,855,909","973,092,223","185,199,392","787,892,831"
,, 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,2022,April ,"1,632","19,432,578","12,109,883","2,737,938","2,548,613","271,977","1,764,168","52,012,312","46,463,875","805,806","1,921,278","278,825","2,542,528","52,012,312","51,296,885","715,427","11,398,390","8,105,059","2,760,059","66,165","467,107","7,547,073","3,663,044","3,884,029","968,709,005","927,785,053","12,339,703","1,589,025","21,933,347","1,464,999","3,596,877","968,709,005","181,873,775","786,835,229"
,, 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,2021,April ,"1,662","14,809,036","8,708,705","1,649,764","2,599,444","263,518","1,587,604","58,054,085","51,445,671","1,078,775","2,449,354","274,778","2,805,507","58,054,085","57,825,299","228,785","11,319,345","9,142,572","1,450,928","83,432","642,413","8,163,377","3,304,126","4,859,252","990,595,851","951,804,165","11,802,791","1,749,599","20,400,502","851,407","3,987,387","990,595,851","190,605,315","799,990,535"
,, 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,2020,April ,"1,664","21,282,068","16,125,143","1,787,948","2,219,335","182,611","967,032","56,170,885","51,229,283","556,380","1,419,969","145,777","2,819,475","56,170,885","54,678,167","1,492,718","11,410,354","9,446,678","1,568,018","46,090","349,569","8,638,033","2,755,640","5,882,393","1,091,470,003","1,049,667,006","14,305,053","2,301,460","21,107,446","845,834","3,243,205","1,091,470,003","181,487,645","909,982,358"
,, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,2019,April ,"1,700","19,598,702","13,777,655","1,537,877","2,955,688","85,535","1,241,946","55,138,508","49,184,736","622,241","1,773,114","140,189","3,418,229","55,138,508","54,091,546","1,046,962","9,732,184","8,918,497","641,325",N/A,N/A,"7,895,419","3,067,730","4,827,689","1,112,530,406","1,070,828,546","15,273,416","873,487","21,352,936","669,851","3,532,170","1,112,530,406","183,192,561","929,337,845"
,, 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,2018,April ,"1,712","16,397,276","9,092,686","2,189,601","3,716,910","154,692","1,243,389","58,351,466","51,590,184","784,004","1,921,014","65,090","3,991,175","58,351,466","57,590,376","761,090","9,347,557","8,421,187","624,027","88,022","214,321","7,836,699","3,726,094","4,110,606","1,058,806,118","1,017,147,384","14,820,711","989,719","21,908,053","398,251","3,541,998","1,058,806,118","187,539,294","871,266,824"
,, 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,2017,April ,"1,783","11,591,648","7,529,140",N/A,"2,990,951","3,031",N/A,"50,951,399","41,038,848","4,806,413","1,860,594","59,759","3,185,785","50,951,399","50,056,238","895,161","9,752,412","7,603,252","1,923,970","120,466","104,725","7,924,102","4,122,978","3,801,124","1,027,284,824","776,262,745","226,401,033","1,003,651","20,068,501","267,425","3,281,468","1,027,284,824","196,536,582","830,748,242"
,, 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,2016,April ,"1,749","13,547,375","8,759,544",N/A,"3,271,485","5,677",N/A,"55,106,678","44,221,642","5,304,361","1,975,608","61,110","3,543,957","55,106,678","52,201,125","2,905,553","11,364,178","7,578,000","3,595,051","105,165","85,962","7,879,182","4,209,999","3,669,182","995,545,487","745,328,375","225,536,578","1,561,221","19,279,874","309,942","3,529,497","995,545,487","188,919,849","806,625,638"
,, 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,2025,August ,"1,371","18,758,460","13,048,880","2,775,448","1,465,019","86,353","1,382,761","42,218,875","36,548,629","612,799","1,532,491","388,971","3,135,986","42,218,875",N/A,N/A,"15,287,153","10,858,932",N/A,"34,026",N/A,"4,374,150","993,979","3,380,172","802,196,241","760,664,574","10,354,757","1,795,059","24,797,447","1,677,636","2,906,770","802,196,241","186,395,167","615,801,075"
,, 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,2024,August ,"1,531","20,104,337","13,171,513","2,978,461","2,180,121","100,623","1,673,620","47,786,379","41,752,606","658,075","1,997,475","224,074","3,154,149","47,786,379","45,285,163","2,501,215","13,229,604","8,387,522","4,317,648","34,450","489,985","7,056,038","2,519,360","4,536,678","862,915,898","816,842,443","11,717,122","2,271,095","26,177,719","1,191,857","4,715,663","862,915,898","188,817,634","674,098,264"
,, 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,2023,August ,"1,576","17,864,103","7,862,811","4,948,062","2,724,471","93,543","2,235,216","50,703,958","43,972,986","743,858","2,366,771","240,682","3,379,661","50,703,958","49,869,972","833,985","15,801,596","8,565,561","6,427,023","69,175","739,836","6,459,882","2,755,520","3,704,363","803,720,940","757,907,699","13,186,176","2,096,879","25,635,548","1,144,658","3,749,979","803,720,940","201,315,742","602,405,197"
,, 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,2022,August ,"1,639","42,886,849","28,019,309","8,872,770","3,949,875","137,815","1,907,080","53,377,572","47,109,232","785,010","2,190,513","220,654","3,072,163","53,377,572","52,095,318","1,282,254","14,822,873","8,749,566","5,533,727",N/A,N/A,"6,702,004","3,215,640","3,486,365","816,784,617","771,017,925","11,012,157","4,788,879","25,737,856","1,460,135","2,767,664","816,784,617","199,971,417","616,813,200"
,, 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,2021,August ,"1,637","42,095,743","26,544,493",N/A,N/A,"197,138","1,559,503","57,308,390","51,422,503","816,024","2,353,732","204,145","2,511,987","57,308,390","57,057,903","250,488","12,378,939","9,092,366","2,715,515","202,366","368,692","7,772,529","3,080,290","4,692,239","811,561,002","765,402,752","11,273,284","6,908,484","22,860,084","1,409,750","3,706,648","811,561,002","206,473,972","605,087,030"
,, 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,2020,August ,"1,663","43,323,441","29,259,255","10,068,674","2,514,465","185,239","1,295,809","58,852,926","52,539,762","819,671","2,161,012","191,766","3,140,715","58,852,926","57,926,477","926,449","13,859,832","10,604,078","2,941,875","51,529","262,350","9,064,651","3,092,043","5,972,607","900,185,324","854,562,595","11,870,746","7,139,769","23,133,776","819,235","2,659,203","900,185,324","204,266,518","695,918,806"
,, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,2019,August ,"1,680","33,883,336","21,632,365","7,984,258","2,779,928","207,746","1,279,039","62,040,402","54,592,388","957,146","2,538,679","169,611","3,782,577","62,040,402","60,594,701","1,445,701","11,193,887","10,266,990","521,762",N/A,N/A,"9,170,759","3,547,958","5,622,801","913,088,913","870,481,078","13,346,979",N/A,"19,992,873","714,193",N/A,"913,088,913","207,411,876","705,677,037"
,, 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,2018,August ,"1,698","39,365,211","22,521,572","12,195,399","2,906,569","132,135","1,609,535","65,657,343","57,958,703","1,005,830","2,758,069","145,659","3,789,081","65,657,343","64,337,741","1,319,602","7,864,177","6,928,078","697,120","136,753","102,226","6,286,228","3,488,681","2,797,548","852,686,856","808,124,034","14,781,554","2,514,511","23,142,844","529,528","3,594,386","852,686,856","202,717,313","649,969,543"
,, 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
